	Date	Day	IMDB	Place	Rating	Time	Title
2801	2007/05/20	Sun		C2GA Cinema 2 General Admit	G	10:30	Charlotte's Web
2802	2007/05/20	Sun		C2GA Cinema 2 General Admit	G	13:00	Charlotte's Web
2803	2007/05/20	Sun		C1GA Cinema 1 General Admit	MA15+	17:15	The Great Rock n Roll Swindle
2804	2007/05/20	Sun		C1GA Cinema 1 General Admit	18+	19:15	Ladies and Gentlemen, the Fabulous Stains
2805	2007/05/21	Mon		C2GA Cinema 2 General Admit	M	13:30	U-Carmen e-Khayelitsha
2806	2007/05/25	Fri		C1GA Cinema 1 General Admit	M15+	22:00	Wild Zero
2807	2007/05/26	Sat		C2GA Cinema 2 General Admit	M	11:00	The Queen
2808	2007/05/26	Sat		C1GA Cinema 1 General Admit		16:00	Mary Tomsic Presents...
2809	2007/05/27	Sun		C2GA Cinema 2 General Admit	G	10:30	Interstella 5555
2810	2007/05/27	Sun		C2GA Cinema 2 General Admit	G	13:00	Interstella 5555
2811	2007/05/28	Mon		C2GA Cinema 2 General Admit	M	13:30	The Queen
2812	2007/06/01	Fri		C1GA Cinema 1 General Admit		22:00	Burn! (Queimada)
2813	2007/06/02	Sat		C2GA Cinema 2 General Admit	M	11:00	The Queen
2814	2007/06/02	Sat		C2GA Cinema 2 General Admit	M	16:00	Clubland
2815	2007/06/02	Sat		C2GA Cinema 2 General Admit	PG	19:30	Intolerance (with Live Score)
2816	2007/06/03	Sun		C2GA Cinema 2 General Admit	G	10:30	Harry Potter and the Philosopher's Stone
2817	2007/06/03	Sun		C2GA Cinema 2 General Admit	G	13:30	Harry Potter and the Philosopher's Stone
2818	2007/06/03	Sun		C2GA Cinema 2 General Admit	PG	17:30	Intolerance (with Live Score)
2819	2007/06/04	Mon		C2GA Cinema 2 General Admit	M	13:30	The Queen
2820	2007/06/07	Thu		C2GA Cinema 2 General Admit	G	19:00	Daft Punk's Electroma
2821	2007/06/08	Fri		C1GA Cinema 1 General Admit	G	19:00	Daft Punk's Electroma
2822	2007/06/08	Fri		C2GA Cinema 2 General Admit	G	19:00	Daft Punk's Electroma
2823	2007/06/08	Fri		C1GA Cinema 1 General Admit	MA15+	22:00	The Thing
2824	2007/06/09	Sat		C2GA Cinema 2 General Admit	M	11:00	The Queen
2825	2007/06/09	Sat		C2GA Cinema 2 General Admit	G	19:00	Daft Punk's Electroma
2826	2007/06/09	Sat		C1GA Cinema 1 General Admit	G	19:00	Daft Punk's Electroma
2827	2007/06/10	Sun		C1GA Cinema 1 General Admit	G	17:30	Daft Punk's Electroma
2828	2007/06/11	Mon		C2GA Cinema 2 General Admit	M	13:30	The Queen
2829	2007/06/15	Fri		C1GA Cinema 1 General Admit	M	22:00	Rock 'n' Roll High School
